           12         311
2 0 0 0 0 0 0 0 0 0 0 0       0.00698258377485529d0
0 2 0 0 0 0 0 0 0 0 0 0       0.00523295103779531d0
0 0 2 0 0 0 0 0 0 0 0 0       0.00321905085607521d0
0 0 0 2 0 0 0 0 0 0 0 0       0.00209591421626978d0
0 0 0 0 2 0 0 0 0 0 0 0       0.00717394985547123d0
0 0 0 0 0 2 0 0 0 0 0 0       0.00717394985547123d0
0 0 0 0 0 0 2 0 0 0 0 0       0.00338763526042735d0
0 0 0 0 0 0 0 2 0 0 0 0       0.00338763526042735d0
0 0 0 0 0 0 0 0 2 0 0 0       0.00241713585158939d0
0 0 0 0 0 0 0 0 0 2 0 0       0.00241713585158939d0
0 0 0 0 0 0 0 0 0 0 2 0       0.00082241851312325d0
0 0 0 0 0 0 0 0 0 0 0 2       0.00082241851312325d0
3 0 0 0 0 0 0 0 0 0 0 0      -0.00080191500448583d0
2 1 0 0 0 0 0 0 0 0 0 0      -0.00004806933691662d0
1 2 0 0 0 0 0 0 0 0 0 0       0.00001002393755607d0
1 0 2 0 0 0 0 0 0 0 0 0      -0.00004784152015398d0
1 0 1 1 0 0 0 0 0 0 0 0      -0.00008793727037828d0
1 0 0 0 2 0 0 0 0 0 0 0      -0.00260576813105367d0
1 0 0 0 0 2 0 0 0 0 0 0      -0.00260576813105367d0
1 0 0 0 1 0 1 0 0 0 0 0      -0.00018954354651483d0
1 0 0 0 0 1 0 1 0 0 0 0      -0.00018954354651483d0
1 0 0 0 1 0 0 0 1 0 0 0       0.00029661742495470d0
1 0 0 0 0 1 0 0 0 1 0 0       0.00029661742495470d0
1 0 0 0 1 0 0 0 0 0 1 0       0.00008110276749913d0
1 0 0 0 0 1 0 0 0 0 0 1       0.00008110276749913d0
1 0 0 0 0 0 2 0 0 0 0 0      -0.00011117458016735d0
1 0 0 0 0 0 0 2 0 0 0 0      -0.00011117458016735d0
1 0 0 0 0 0 1 0 1 0 0 0       0.00019409988176759d0
1 0 0 0 0 0 0 1 0 1 0 0       0.00019409988176759d0
1 0 0 0 0 0 1 0 0 0 1 0       0.00004419645195178d0
1 0 0 0 0 0 0 1 0 0 0 1       0.00004419645195178d0
1 0 0 0 0 0 0 0 2 0 0 0      -0.00023533471580507d0
1 0 0 0 0 0 0 0 0 2 0 0      -0.00023533471580507d0
1 0 0 0 0 0 0 0 1 0 1 0      -0.00007244573051889d0
1 0 0 0 0 0 0 0 0 1 0 1      -0.00007244573051889d0
0 3 0 0 0 0 0 0 0 0 0 0      -0.00046018986052880d0
0 2 1 0 0 0 0 0 0 0 0 0       0.00003895666641110d0
0 2 0 1 0 0 0 0 0 0 0 0      -0.00043945853512874d0
0 1 2 0 0 0 0 0 0 0 0 0       0.00004715806986607d0
0 1 1 1 0 0 0 0 0 0 0 0      -0.00017222947255434d0
0 1 0 2 0 0 0 0 0 0 0 0       0.00022599422853692d0
0 1 0 0 2 0 0 0 0 0 0 0      -0.00005604292360895d0
0 1 0 0 0 2 0 0 0 0 0 0      -0.00005604292360895d0
0 1 0 0 1 0 0 0 1 0 0 0       0.00005011968778036d0
0 1 0 0 0 1 0 0 0 1 0 0       0.00005011968778036d0
0 1 0 0 0 0 2 0 0 0 0 0      -0.00002300949302644d0
0 1 0 0 0 0 0 2 0 0 0 0      -0.00002300949302644d0
0 1 0 0 0 0 0 0 1 0 1 0       0.00003553941497153d0
0 1 0 0 0 0 0 0 0 1 0 1       0.00003553941497153d0
0 1 0 0 0 0 0 0 0 0 2 0      -0.00002551547741546d0
0 1 0 0 0 0 0 0 0 0 0 2      -0.00002551547741546d0
0 0 3 0 0 0 0 0 0 0 0 0       0.00009112670505521d0
0 0 2 1 0 0 0 0 0 0 0 0       0.00009704994088380d0
0 0 1 2 0 0 0 0 0 0 0 0       0.00018043087600931d0
0 0 1 0 2 0 0 0 0 0 0 0      -0.00004351300166386d0
0 0 1 0 0 2 0 0 0 0 0 0      -0.00004351300166386d0
0 0 1 0 1 0 0 0 1 0 0 0      -0.00017587454075655d0
0 0 1 0 0 1 0 0 0 1 0 0      -0.00017587454075655d0
0 0 1 0 1 0 0 0 0 0 1 0      -0.00003098307971877d0
0 0 1 0 0 1 0 0 0 0 0 1      -0.00003098307971877d0
0 0 1 0 0 0 2 0 0 0 0 0      -0.00004898060396717d0
0 0 1 0 0 0 0 2 0 0 0 0      -0.00004898060396717d0
0 0 1 0 0 0 0 0 1 0 1 0       0.00004282955137595d0
0 0 1 0 0 0 0 0 0 1 0 1       0.00004282955137595d0
0 0 1 0 0 0 0 0 0 0 2 0       0.00002688237799129d0
0 0 1 0 0 0 0 0 0 0 0 2       0.00002688237799129d0
0 0 0 3 0 0 0 0 0 0 0 0      -0.00019053075248642d0
0 0 0 1 2 0 0 0 0 0 0 0       0.00001982005834951d0
0 0 0 1 0 2 0 0 0 0 0 0       0.00001982005834951d0
0 0 0 1 1 0 0 0 1 0 0 0      -0.00018772101241373d0
0 0 0 1 0 1 0 0 0 1 0 0      -0.00018772101241373d0
0 0 0 1 0 0 2 0 0 0 0 0       0.00001982005834951d0
0 0 0 1 0 0 0 2 0 0 0 0       0.00001982005834951d0
0 0 0 1 0 0 1 0 1 0 0 0      -0.00006105489238699d0
0 0 0 1 0 0 0 1 0 1 0 0      -0.00006105489238699d0
0 0 0 1 0 0 0 0 2 0 0 0      -0.00006401651030128d0
0 0 0 1 0 0 0 0 0 2 0 0      -0.00006401651030128d0
0 0 0 1 0 0 0 0 1 0 1 0       0.00006105489238699d0
0 0 0 1 0 0 0 0 0 1 0 1       0.00006105489238699d0
0 0 0 1 0 0 0 0 0 0 2 0      -0.00007472389814527d0
0 0 0 1 0 0 0 0 0 0 0 2      -0.00007472389814527d0
0 0 0 0 3 0 0 0 0 0 0 0      -0.00062550889128297d0
0 0 0 0 1 2 0 0 0 0 0 0       0.00187652667384937d0
0 0 0 0 1 0 2 0 0 0 0 0       0.00004009575022429d0
0 0 0 0 1 0 0 2 0 0 0 0      -0.00004009575022429d0
0 0 0 0 0 1 1 1 0 0 0 0      -0.00008019150044858d0
0 0 0 0 1 0 0 1 0 1 0 0       0.00007472389814527d0
0 0 0 0 0 1 1 0 0 1 0 0       0.00007472389814527d0
0 0 0 0 0 1 0 1 1 0 0 0       0.00007472389814527d0
0 0 0 0 1 0 1 0 1 0 0 0      -0.00007472389814527d0
0 0 0 0 1 0 0 0 2 0 0 0       0.00004784152015398d0
0 0 0 0 1 0 0 0 0 2 0 0      -0.00004784152015398d0
0 0 0 0 0 1 0 0 1 1 0 0      -0.00009568304030797d0
0 0 0 0 1 0 0 0 0 1 0 1      -0.00004100701727484d0
0 0 0 0 0 1 0 0 1 0 0 1      -0.00004100701727484d0
0 0 0 0 0 1 0 0 0 1 1 0      -0.00004100701727484d0
0 0 0 0 1 0 0 0 1 0 1 0       0.00004100701727484d0
0 0 0 0 0 0 3 0 0 0 0 0       0.00010532728325980d0
0 0 0 0 0 0 1 2 0 0 0 0      -0.00031598184977893d0
0 0 0 0 0 0 2 0 1 0 0 0      -0.00009203797210576d0
0 0 0 0 0 0 0 2 1 0 0 0       0.00009203797210576d0
0 0 0 0 0 0 1 1 0 1 0 0       0.00018407594421152d0
0 0 0 0 0 0 1 0 2 0 0 0      -0.00009431613973214d0
0 0 0 0 0 0 1 0 0 2 0 0       0.00009431613973214d0
0 0 0 0 0 0 0 1 1 1 0 0       0.00018863227946428d0
0 0 0 0 0 0 1 0 0 1 0 1       0.00003234998029460d0
0 0 0 0 0 0 0 1 1 0 0 1       0.00003234998029460d0
0 0 0 0 0 0 0 1 0 1 1 0       0.00003234998029460d0
0 0 0 0 0 0 1 0 1 0 1 0      -0.00003234998029460d0
0 0 0 0 0 0 1 0 0 0 2 0      -0.00001731407396049d0
0 0 0 0 0 0 1 0 0 0 0 2       0.00001731407396049d0
0 0 0 0 0 0 0 1 0 0 1 1       0.00003462814792098d0
0 0 0 0 0 0 0 0 3 0 0 0      -0.00005665043497584d0
0 0 0 0 0 0 0 0 1 2 0 0       0.00016995130492796d0
0 0 0 0 0 0 0 0 2 0 1 0      -0.00004214610108803d0
0 0 0 0 0 0 0 0 0 2 1 0       0.00004214610108803d0
0 0 0 0 0 0 0 0 1 1 0 1       0.00008429220217607d0
