            3          18
2 0 0       0.00045335535764966d0
0 2 0       0.00148080895714713d0
0 0 2       0.00293200173515131d0
2 1 0       0.00007631861548374d0
2 0 1       0.00000715344634683d0
0 3 0       0.00011219975559922d0
0 2 1      -0.00010322377515129d0
0 1 2       0.00028531771352786d0
0 0 3       0.00026116913668823d0
4 0 0       0.00000197631041588d0
0 4 0       0.00000505753213056d0
0 0 4       0.00001792348380055d0
2 2 0      -0.00000039867933462d0
2 0 2      -0.00000325777970572d0
0 2 2       0.00001381708665400d0
0 3 1      -0.00000860387973563d0
0 1 3       0.00001559026045653d0
2 1 1       0.00000681172120288d0
