            9         159
2 0 0 0 0 0 0 0 0       0.00795422226750645d0
0 2 0 0 0 0 0 0 0       0.00728626351945177d0
0 0 2 0 0 0 0 0 0       0.00703224782911038d0
0 0 0 2 0 0 0 0 0       0.00383894026721326d0
0 0 0 0 2 0 0 0 0       0.00344026093259673d0
0 0 0 0 0 2 0 0 0       0.00318305580757841d0
0 0 0 0 0 0 2 0 0       0.00248183581217858d0
0 0 0 0 0 0 0 2 0       0.00270281807193746d0
0 0 0 0 0 0 0 0 2       0.00251031290750834d0
3 0 0 0 0 0 0 0 0      -0.00173748250971929d0
2 1 0 0 0 0 0 0 0       0.00008849921839278d0
2 0 1 0 0 0 0 0 0      -0.00005941461169600d0
2 0 0 1 0 0 0 0 0      -0.00004819083919003d0
2 0 0 0 1 0 0 0 0       0.00001486884070817d0
2 0 0 0 0 1 0 0 0       0.00008439851666530d0
2 0 0 0 0 0 1 0 0       0.00001032009934750d0
1 2 0 0 0 0 0 0 0       0.00001192241057806d0
0 3 0 0 0 0 0 0 0       0.00095096032449571d0
0 2 1 0 0 0 0 0 0       0.00078276320864006d0
0 2 0 1 0 0 0 0 0       0.00005958927121402d0
0 2 0 0 1 0 0 0 0       0.00006954486374130d0
0 2 0 0 0 1 0 0 0       0.00000006075113670d0
0 2 0 0 0 0 1 0 0      -0.00001823293490313d0
1 0 2 0 0 0 0 0 0      -0.00005080313806828d0
0 1 2 0 0 0 0 0 0      -0.00028257631848411d0
0 0 3 0 0 0 0 0 0       0.00116203255507983d0
0 0 2 1 0 0 0 0 0      -0.00000885447817453d0
0 0 2 0 1 0 0 0 0       0.00002439917527853d0
0 0 2 0 0 1 0 0 0      -0.00001115542747718d0
0 0 2 0 0 0 1 0 0      -0.00000186050356154d0
1 0 0 2 0 0 0 0 0       0.00000886966595871d0
0 1 0 2 0 0 0 0 0      -0.00002069335593962d0
0 0 1 2 0 0 0 0 0      -0.00009608551658863d0
0 0 2 2 0 0 0 0 0      -0.00002220833741116d0
0 0 2 0 2 0 0 0 0      -0.00001906066914071d0
0 0 2 0 0 2 0 0 0      -0.00002176979014308d0
0 0 2 0 0 0 2 0 0      -0.00003746826356187d0
0 0 2 0 0 0 0 2 0      -0.00001316021498839d0
0 0 2 0 0 0 0 0 2      -0.00006891267222498d0
0 0 0 0 0 0 0 0 4       0.00002649698796782d0
0 0 0 3 0 0 0 0 0      -0.00027978176619575d0
0 0 0 2 1 0 0 0 0       0.00011896591344957d0
0 0 0 2 0 1 0 0 0       0.00003845546953330d0
0 0 0 2 0 0 1 0 0       0.00000076698310088d0
1 0 0 0 2 0 0 0 0       0.00000009872059714d0
0 1 0 0 2 0 0 0 0      -0.00004211572551968d0
0 0 1 0 2 0 0 0 0      -0.00005005134275157d0
0 0 0 1 2 0 0 0 0      -0.00013436632660390d0
0 0 0 0 3 0 0 0 0       0.00007509599885758d0
0 0 0 0 2 1 0 0 0       0.00001146677705278d0
0 0 0 0 2 0 1 0 0       0.00001006950090860d0
1 0 0 0 0 2 0 0 0       0.00022460454628482d0
0 1 0 0 0 2 0 0 0      -0.00001579529554290d0
0 0 1 0 0 2 0 0 0      -0.00005251935768015d0
0 0 0 1 0 2 0 0 0      -0.00000160231123055d0
0 0 0 0 1 2 0 0 0       0.00005795658441511d0
