9    159  
2 0 0 0 0 0 0 0 0       0.00795422226750645d0
0 2 0 0 0 0 0 0 0       0.00728626351945177d0
0 0 2 0 0 0 0 0 0       0.00703224782911038d0
0 0 0 2 0 0 0 0 0       0.00383894026721326d0
0 0 0 0 2 0 0 0 0       0.00344026093259673d0
0 0 0 0 0 2 0 0 0       0.00318305580757841d0
0 0 0 0 0 0 2 0 0       0.00248183581217858d0
0 0 0 0 0 0 0 2 0       0.00270281807193746d0
0 0 0 0 0 0 0 0 2       0.00251031290750834d0
3 0 0 0 0 0 0 0 0      -0.00173748250971929d0
2 1 0 0 0 0 0 0 0       0.00026549765517835d0
2 0 1 0 0 0 0 0 0      -0.00017824383508799d0
2 0 0 1 0 0 0 0 0      -0.00014457251757009d0
2 0 0 0 1 0 0 0 0       0.00004460652212452d0
2 0 0 0 0 1 0 0 0       0.00025319554999589d0
2 0 0 0 0 0 1 0 0       0.00003096029804251d0
1 2 0 0 0 0 0 0 0       0.00003576723173417d0
0 3 0 0 0 0 0 0 0       0.00095096032449571d0
0 2 1 0 0 0 0 0 0       0.00234828962592018d0
0 2 0 1 0 0 0 0 0       0.00017876781364205d0
0 2 0 0 1 0 0 0 0       0.00020863459122390d0
0 2 0 0 0 1 0 0 0       0.00000018225341011d0
0 2 0 0 0 0 1 0 0      -0.00005469880470939d0
1 0 2 0 0 0 0 0 0      -0.00015240941420483d0
0 1 2 0 0 0 0 0 0      -0.00084772895545233d0
0 0 3 0 0 0 0 0 0       0.00116203255507983d0
0 0 2 1 0 0 0 0 0      -0.00002656343452359d0
0 0 2 0 1 0 0 0 0       0.00007319752583560d0
0 0 2 0 0 1 0 0 0      -0.00003346628243153d0
0 0 2 0 0 0 1 0 0      -0.00000558151068463d0
1 0 0 2 0 0 0 0 0       0.00002660899787612d0
0 1 0 2 0 0 0 0 0      -0.00006208006781886d0
0 0 1 2 0 0 0 0 0      -0.00028825654976589d0
0 0 2 2 0 0 0 0 0      -0.00013325002446698d0
0 0 2 0 2 0 0 0 0      -0.00011436401484429d0
0 0 2 0 0 2 0 0 0      -0.00013061874085851d0
0 0 2 0 0 0 2 0 0      -0.00022480958137120d0
0 0 2 0 0 0 0 2 0      -0.00007896128993034d0
0 0 2 0 0 0 0 0 2      -0.00041347603334987d0
0 0 0 0 0 0 0 0 4       0.00002649698796782d0
0 0 0 3 0 0 0 0 0      -0.00027978176619575d0
0 0 0 2 1 0 0 0 0       0.00035689774034872d0
0 0 0 2 0 1 0 0 0       0.00011536640859989d0
0 0 0 2 0 0 1 0 0       0.00000230094930264d0
1 0 0 0 2 0 0 0 0       0.00000029616179143d0
0 1 0 0 2 0 0 0 0      -0.00012634717655905d0
0 0 1 0 2 0 0 0 0      -0.00015015402825472d0
0 0 0 1 2 0 0 0 0      -0.00040309897981171d0
0 0 0 0 3 0 0 0 0       0.00007509599885758d0
0 0 0 0 2 1 0 0 0       0.00003440033115834d0
0 0 0 0 2 0 1 0 0       0.00003020850272580d0
1 0 0 0 0 2 0 0 0       0.00067381363885447d0
0 1 0 0 0 2 0 0 0      -0.00004738588662871d0
0 0 1 0 0 2 0 0 0      -0.00015755807304045d0
0 0 0 1 0 2 0 0 0      -0.00000480693369166d0
0 0 0 0 1 2 0 0 0       0.00017386975324534d0
