            3          18
2 0 0       0.00045335535764966d0
0 2 0       0.00148080895714713d0
0 0 2       0.00293200173515131d0
2 1 0       0.00002543953849458d0
2 0 1       0.00000238448211561d0
0 3 0       0.00011219975559922d0
0 2 1      -0.00003440792505043d0
0 1 2       0.00009510590450929d0
0 0 3       0.00026116913668823d0
4 0 0       0.00000197631041588d0
0 4 0       0.00000505753213056d0
0 0 4       0.00001792348380055d0
2 2 0      -0.00000006644655577d0
2 0 2      -0.00000054296328429d0
0 2 2       0.00000230284777567d0
0 3 1      -0.00000215096993391d0
0 1 3       0.00000389756511413d0
2 1 1       0.00000056764343357d0
